PA/gchi+	Very
shpinmawaa	raise
shpishmaa	pile
siboodmawaa	sharpen
siboodwaa	sharpen
siboonaa	sharpen
skaabkizwaa	dry
skigmizwaa	dry
skishmaa	insert
spaajiinaa	hug
spobnaa	pull
spodyaamaa	sit
spogwaanaa	sew
sponemaa	swallow
spwegaabkagnaamaa	dent
spwegaabkishkwaa	dent
spwegaabkishmaa	dent
swewebnaa	scatter
tamaa	draw
tamwaa	place
tawaa	bet
tibaakwegnaa	roll
tibgwaanaa	hem
tiswaa	colour
waa	use
waabmaa	see
waabnda'aa	show
waabndamwaa	see
waabni-shamaa	feed
waabshkaanzwaa	paint
waabzidaamaa	outrun
waakaashkwaa	circle
waan'aa	utilize
waan'kaanaa	dig
waannishkwaa	circle
waasenjgamwaa	illuminate
waaskojiimawaa	polish
waaskojiimawaa	polish
waaskojiiwaa	polish
waaskonendwaa	illuminate
waaskosgawaa	varnish
waatko'mawaa	signal
waawaabmaa	stare
waawaatko'aa	beckon
waawiinaa	name
waawiindmawaa	promise
waawni'aa	retribute
waawnimaa	retort
waawnitwaa	amuse
waawyegwaa	hew
waawyeshmaa	arrange
wanmaa	confound
webaashmaa	blow
webnaa	abandon
Wemtigoozhiimtawaa	Speak
wenaabmaa	choose
wenpazhnewaa	buy
wepdamwaa	hit
wepdawaa	hit
weshimaa	arrange
wewebaabiignaa	swing
wewebaabiigshkawaa	swing
wewebnaa	swing
wezh'aa	adorn
wezhsa'aa	deke
wi'aa	lend
wii'gi'aa	waste
wii'ginnaa	waste
wiidbimaa	sit
wiidgemaa	marry
wiidgendwaa	live
wiidookwaa	help
wiidoopmaa	eat
wiidsemaa	walk
wiijbatoomaa	run
wiijbiimaa	drink
wiijgaabwitwaa	stand
wiijgaamaa	dance
wiijgendwaa	live
wiiji-mnikwemaa	drink
wiiji-piitziimaa	age
wiijiiwaa	accompany
wiijiyaawaa	live
wiijkewenmaa	befriend
wiijnakiimaa	work
wiijsemaa	walk
wiikbinaa	pull
wiikboonaa	suck
wiikdaabaanaa	pull
wiikji'aa	try
wiikjiwnaa	invite
wiikmaa	invite
wiikmaa	suck
wiikpinaa	tie
wiiksa'aa	yank
wiikwebnaa	enchant
wiikwejiipnaa	wrap
wiikwepnaa	wrap
wiikzomaa	coax
wiin'aa	dirty
wiindmawaa	inform
wiinenmaa	consider
wiinjiinaa	dirty
wiinmaa	insult
wiinno'aa	fatten
wiintamwaa	dirty
wiintawaa	sexual
wiipemaa	co-sleep
wiisgagnaamaa	hurt
wiisgendmi'aa	upset
wiisgibnaa	hurt
wiisgide'etwaa	hurt
wiisgidemaa	anger
wiisgishkwaa	crush
wiishkbawaa	sweeten
wiishkswaa	smoke
wiiwegjiinaa	wrap
wiiwjiinaa	wrap
wiiwkwejiinaa	wrap
wmbaabiigbinaa	pull
wmbaabiignaa	raise
wmbawaa	elevate
wmbiigweweshmaa	flap
wmbimaa	incite
wmbinaa	elevate
wmbinmoo'aa	get
wmboomaa	lift
wndagnaamaa	hit
wndagoojmaa	drop
wndanewaa	search
wndinaa	get
wndinmawaa	supply
wndotwaa	listen
wnenmaa	think
wnjibnaa	retrieve
wnjiknaa	abandon
wnzamwaa	cook
wnzwaa	boil
wshkibnaa	zigzag
wwaabmaa	see
wzhi'aa	arrange
wzhibii'getmawaa	write
wzhibii'mawaa	write
wzhibiiwaa	draw
wzhigaanaa	build
wzhigwaa	build
wzhiitaa'aa	prepare
wzhiitaawshimaa	prepare
wzhitmawaa	make
wzhitwaa	make
yaamwaa	lend
yaawaa	have
yekw'aa	tire
yekwaa	tire
yekzi'aa	tire
zaabenmaa	care
zaabmaa	observe
zaag'aa	love
zaagaakshimaa	protrude
zaagaateshkwaa	illuminate
zaagdaashmaa	strike
zaagdagnaamaa	hit
zaagdanemaa	spit
zaagdennewetwaa	taunt
zaagdenniwetwaa	taunt
zaagdinaa	evict
zaagdinwaa	eliminate
zaageweshmaa	notice
zaagiigshimaa	protrude
zaagji'aa	bring
zaagjinaashkawaa	chase
zaagjiskwaanaa	spit
zaagjitwaa	present
zaagjiwdamwaa	carry
zaagjiwdawaa	carry
zaagjiwebnaa	discard
zaagjiwnaa	carry
zaagnemaa	protrude
zaagshimaa	protrude
zaamaakzwaa	overcook
zaamiikwaa	overindulge
zaamkonaa	overcut
zaamnawaa	oversalt
zaampwaa	overeat
zaamwebnaa	overdeal
zaamzekwaanaa	overcook
zaawjiizwaa	brown
zaazgokwaanaa	fry
zeg'aa	frighten
zegaajmaa	scare
zegdaabaanaa	frighten
zegmaa	scare
zesesmaa	upset
zgaabiignaa	hold
zgaakwaa	fasten
zgaan'kwebnaa	pull
zgaan'kwes'aa	yank
zgaan'kweshkwaa	pull
zgaandbenaa	hold
zgaanweshkwaa	step
zgaawganenaa	grab
zgaknaa	store
zgakshimaa	store
zgaswaanaa	smoke
zgibnaa	connect
zgidyenaa	grab
zgidyepwaa	bite
zgigaadenaa	grab
zgigaadepnaa	tie
zgigwenaa	grab
zgigwewes'aa	grab
zgiigmaa	bite
zgiignaa	grab
zgiigndaan	bite
zgin'kenaa	hold
zginnjiinaa	shake
zginnjiipnaa	tie
zginnjiipwaa	bite
zginnjiishkwaa	lean
zgipnaa	tie
zgizdeshkwaa	step
zhaabganaamaa	punch
zhaaboodwewemaa	defeat
zhaaboojbidmawaa	grab
zhaaboojnemawaa	outbuy
zhaabooskinwaa	beat
zhaabwaabmaa	see
zhaabwii'aa	rescue
zhaabwiigwaa	penetrate
zhaabwinaa	rescue
zhaagnaashiimtawaa	speak
zhaagoodnaa	surpass
zhaagoodnawaa	beat
zhaagooj'aa	beat
zhaagooskmawaa	beat
zhaagooskwaa	outrun
zhaagoozkamwaa	beat
zhaagoozkawaa	outrun
zhaamaa	visit
zhaamwaa	visit
zhaashaagjiishkwaa	mash
zhaashaagjiiwaa	mash
zhaashaagmaa	chew
zhaawenmaa	envy
zhebnaa	rewind
zhedaabaanaa	drag
zhegmaa	rollback
zhegnaamaa	knockback
zhekwaa	push
zheshkwaa	kick
zheyaaknaa	open
zheyaakshimaa	open
zheyaakshimaa	open
zheyaakshimaa	open
zhgaagnawaa	defeat
zhgadenmaa	impatient
zhgajbii'aa	anxious
zhgajpwaa	sate
zhgaztawaa	annoy
zhi'aa	arrange
zhibii'getmawaa	write
zhibii'mawaa	write
zhibiiwaa	draw
zhibnaa	pull
zhichgaanaa	work
zhidaabaanaa	drag
zhidyetwaa	moon
zhigaabwi'aa	position
zhigaanaa	build
zhigwaa	build
zhiibaabzawaa	drive
zhiibaawaabmaa	observe
zhiibaawaakshimaa	insert
zhiibaawaateshmaa	x-ray
zhiibiigbinaa	stretch
zhiig'eknaa	prune
zhiignaa	empty
zhiignamwaa	empty
zhiigoonaa	sort
zhiigoowebnaa	sort
zhiigshkawaa	vacate
zhiingenmaa	dislike
zhiingtawaa	annoy
zhiishiignaa	urinate
zhiitaa'aa	prepare
zhiitaawshimaa	prepare
zhijiinaa	hold
zhiknaa	cut
zhin'kaanaa	name
zhinaashkamwaa	chase
zhinaashkawaa	send
zhinaazhkawaa	send
zhinaazhwaa	send
zhinmaa	in-law
zhinoo'mawaa	show
zhinoowaa	point
zhishenmaa	bum
zhishmaa	lay
zhitmawaa	make
zhitwaa	make
zhiweb'amwaa	shove
zhiwebwaa	shove
zhiwnaa	carry
zhkendaan	curse
zhkenmaa	curse
zhnikaanaa	name
zhoobaagbinaa	bend
zhoobaagnaa	bend
zhoobaagshkawaa	bend
zhoobbinaa	bend
zhoomiingwetwaa	smile
zhoonyaakaanaa	profit
zhoonyaakwaa	profit
zhooshkshimaa	slip
zhooshkwegnaa	smooth
zhooshkwegwaa	iron
zhwegshimaa	spread
zhwenmaa	sympathize
zhyaaweshmaa	straighten
zhzhoosgawaa	paint
ziignaa	pour
ziignamwaa	serve
ziignawaa	medicate
ziignemaa	regurgitate
ziigniingwaa	splash
ziigwebnaa	spill
ziigwebshkawaa	overturn
ziigwepdawaa	drench
ziikoobiignaa	drain
ziinbiigmaa	sip
ziinbiignaa	wring
ziinbinaa	squeeze
ziindaakjiishkwaa	squash
ziindaaknaa	wedge
ziindaaknikeshkoonaa	compress
ziindaaknikeshkwaa	crush
ziindaakninjiishkoonaa	pinch
ziindaakninjiishkwaa	clamp
ziindaakshimaa	insert
ziinmaa	suck
ziinnaa	milk
ziinshkawaa	tighten
ziinzwaa	fry
ziitaagnawaa	salt
ziizningwaamaa	carry
zka'mawaa	illuminate
zkaabiignaa	plug
zkawaa	ignite
zkwaanaa	spit
znagbinaa	crush
znagbinaa	massage
znagenmaa	challenge
znaggaadebnaa	massage
znaggaadenaa	massage
znaggwiiwenaa	massage
znagjiibnaa	massage
znagjiinaa	massage
znagjiishkwaa	massage
znagmaa	challenge
znagnikebnaa	massage
znagnikenaa	massage
zookoobiignaa	drain
zoongaakwaa	secure
zoongde'eshkwaa	confirm
zoonggwaanaa	sew
aagwaashkwaa	intercept
aabmiitaw	resist
baasbinaa	smash
bengshkawaa	wear
bengwaashmaa	dry
bengwegwaa	iron
bengdinaa	knead
bzwaabiishmaa	wind
giibjiiwebnaa	throw
giibjiiwebshkawaa	push
naagzowaabmaa	observe
wni'aa	lose
zkizwaa	burn
ndaagnaamaa	stir
wiiji-skoonwimaa	study
bootaagaanaa	grind
aagwishmaa	hide
giishktawgepwaa	bite
mkade'aa	fast
niibdegaabwi'aa	align
baabii'waa	wait
bkwaakninjiitwaa	threaten
aanjibii'waa	repaint
baapaashkzwaa	heat
bgidnamwaa	allow
biindaagnawaa	carry
biiwkonaa	chop
bmasnii'aa	throw
bmin'zhawaa	chase
boodaakwewebnaa	cook
boozwebnaa	load
bzigndinaa	raise
disaa	come
dkondmawaa	bite
gbaashmaa	boil
giishkkodmawaa	cut
giishktawgebwaa	bite
giiwenaazhwaa	drive
giiwewdamwaa	bring
giizhooshmaa	wrap
gikwi'aa	track
gitziimmaa	parent
gjiknayezwaa	process
gshkawaa	cut
jaagnaa	use
jiichiibnaa	poke
kaadenaa	braid
maajii'aa	remove
maajiinaazh'waa	send
maajiinaazhkawaa	send
maaknanaa	maim
maawndowaaknaa	gather
maawnzomaa	call
pagnaa	throw
aadaakshkowaa	block
aagwiitooshmaa	insert
aagwiitoowegshimaa	line
aangzhe’aa	hire
aanjgoonaa	hang
aanjnaashkawaa	herd
aan’keshmaa	add
aanmaajmaa	narrate
aanmaajmatwaa	narrate
aanmaajmatwaa	complain
aanminwaa	trounce
aannawaa	wound
aanooj’aa	annoy
aanoojiikwaa	annoy
aanoozmaa	annoy
aanzwekwaa	miss
aapdagnaamaa	beat
aaswaakwaa	brace
aazhgidwebnaa	flip
aazhgijwebnaa	flip
aazhigijiitwaa	unknown.word
baabaagjiiwaa	pound
baabgoknaa	cut
bmibzoo’aa	operate
baabkizwaa	warm
baagaaksa’aa	slam
baakdaamkagnebnaa	prise
baakdenmaa	prejudice
baakdonebnaa	pry
baapaagbiigwaa	thresh
baapaagjiiwaa	pound
baapaagndibegnaamaa	hit
baagndibeshmaa	slam
baapaagndibewaa	hit
baapaawganewaa	pat
baashjikaanaa	overtake
baashkjiishkwaa	squash
baataanaashkawaa	corner
baazgogaadeshkwaa	scratch
baazgognaamaa	scratch
baazgojiibnaa	wound
baazgoshmaa	scrape
baazgoshkwaa	scratch
baazgowaa	scratch
bchiwebnaa	discard
bchizhaanaa	urinate
bezgiignaa	fold
bgamaawnaa	deliver
bgaskdetegnaamaa	slap
bgaskdetegwegnaamaa	slap
bgaskshimaa	slap
bgodkanaa	abandon
bgonemaa	pierce
biignamwaa	change
biim’aa	insult
biimtagwewebnaa	twist
biindgebtwaanaa	carry
biindgebzoo’aa	park
biindgenaashkawaa	herd
biinjdiiyebnaa	probe
biinjganebnaa	reset
biinjjaanebnaa	probe
biinjtawgebnaa	probe
biipiigmaa	chew
biisbiiwaa	minimize
binoojiinkaanaa	pamper
bkaabiigsa’aa	snap
bkaabiigwaa	break
bkewnaa	mislead
bkidaabiiggoonaa	hang
bkidaabiigshimaa	hang
bkidaakwebnaa	drape
bkijiigshimaa	cover
bkijshimaa	overlap
bkobnaa	detach
bkwaakninjiitwaa	threaten
bkwaanmi’aa	harass
bkwenedaawngishmaa	scatter
bkwenedyeshkwaa	kick
bmaabiignaa	date
bmaapnemaa	scold
bmagsa’aa	shake
bmagwebnaa	shake
bmigsa’aa	shake
bmigwebnaa	shake
bminaazhwaa	control
bnaadaabiignaa	mislead
bnaadwewemaa	confuse
bnaazaabmaa	doubt
bnagoonaa	push
bnitwaa	overhear
bookwegnaa	fold
boon’kiiyaabiignaa	lower
boonii’aa	land
bootaagwaa	crush
booznadwaa	enter
bsenmaa	desire
bshagdigwegnaamaa	scrape
bshagdigweshkwaa	scrape
bshagdoosknegnaamaa	scrape
bshagdooskneshkwaa	scrape
bshaggaadegnaamaa	scrape
bshaggaadeshkwaa	scrape
bshiidoosknegnaamaa	scrape
bshiidooskneshkwaa	scrape
bshiigaadegnaamaa	scrape
bshiigaadeshkwaa	scrape
bshiigdigwegnaamaa	scrape
bshiigdigweshkwaa	scrape
bshiijaanegnaamaa	scrape
bshiijaaneshkwaa	scrape
bshiingwegnaamaa	scrape
bshiingweshkwaa	scrape
bshkojiiknaa	shear
bshkwaandbeknaa	shave
bsijiiwaa	graze
bsijiiwaa	graze
bskaabiindwaa	reconcile
bskanemaa	provoke
bzwaabmaa	squint
chargewi’aa	charge
daapshimaa	use
daapsidmawaa	use
debjiinaa	hold
debpwaa	sate
dewe’mawaa	drum
dgobiiwaa	include
dgobiiwaa	include
dkaagmisdamwaa	cool
dkamaabiignaa	extend
dkisdamwaa	cool
dootooskgamzwaa	simmer
dwinaa	clear
dwinmawaa	clear
ekwaa-dbawaa	pay
baapiiw'aan	brush
bgidaabiignaan	loosen
aab'aan	untie
aabaabka'aan	unlock
aabiignaan	unroll
aabiinzdaan	denigrate
aabnaabndaan	look
aabnaan	untie
aaboojiignaan	invert
aaboojiigshkaan	wear
aabooskaan	wear
aabshkaan	kick
aadaakw'aan	lock
aagdinaan	push
aagnetaan	disagree
aagnetaan	disagree
aagoo'aan	close
aagwiitooshkaan	wear
aakmendaan	mind
aandaaddaan	change
aandaajndaan	change
aandkii'aan	transplant
aangwaamnaan	hold
aanjdaabaadaan	drag
aanmendaan	exasperate
aansaabwaadaan	dilute
aanwaabndaan	dislike
aanwendaan	reject
aanzkaan	change
aashtooziignaan	pour
aashtowebnaan	throw
aasnaan	hold
aate'aan	extinguish
aateboodaadaan	blow
aateshkaan	stamp
aatwaajiiyebnaan	throw
aatwaanaan	turn
aawendaan	construe
aawjidaabaadaan	haul
aazhdeshkaan	cross
aazhgidnaan	turn
aazhgijwebshkaan	flip
aazhgiskaan	flip
baabaapnadaan	ridicule
baabgognaandaan	knock
baabgwaad'aan	scrape
baabgwaak'aan	peel
baabgwaakwaan	peel
baabiitookdaan	slice
baabsaabiignaan	tighten
baabsaakw'aan	screw
baabsiboodaadaan	inflate
baabsikaan	tight
baagmizaan	warm
baagnaan	strike
baakaabiignaan	open
baakaaknaan	open
baakaakzaan	burn
baakganaandaan	open
baakiignaan	turn
baakiignaan	open
baakkodaan	cut
baaknaan	open
baakndaan	bite
baapiitoozhaan	layer
baapiiwegnaan	shake
baapiiwganaandaan	beat
baapiiwnaan	brush
baapiiwwebnaan	shake
baapnadaan	waste
baas'aan	crack
baasaakzaan	burn
baasaan	dry
baasganaandaan	crack
baashdagnaandaan	hit
baashdakaadaan	pass
baashk'aan	break
baashkdiyaandaan	defecate
baashkjiignaandaan	burst
baashkjii'aan	burst
baashkndaan	break
baashkzaan	shoot
baashkzaan	crack
baashzaabndaan	overlook
baasiig'aan	dry
baaskaan	crack
baasndaan	crack
baasshkoodaan	crack
baaszaan	heat
baazgod'aan	scratch
baazgwaad'aan	scratch
bbaamaajndaan	spread
bbaamendaan	worry
bbaamtaan	listen
bbaanendaan	worry
bchinaadaan	shoot
bdakbase'aan	spear
bdakjii'aan	skewer
bengdinaan	knead
bengshkaan	wear
bengw'aan	dry
bengwaabka'aan	dry
bengweg'aan	iron
beshkodaan	stripe
beshwaabndaan	miss
bgaktaan	hear
bgamoondaan	carry
bgamshtigwe'aan	hammer
bgand'aan	thresh
bgashkzhaan	cut
bgid'aan	put
bgidaagshkaan	release
bgidendaan	give
bgidnaan	release
bgidoondaan	put
bgijwebnaan	drop
bgo'aan	patch
bgo'aan	chop
bgone'aan	pierce
bgonegnaandaan	punch
bgonejiishkaan	kick
bgonekdaan	cut
bgonesga'aan	pierce
bgoneshkaan	kick
bgoneyaakshkaan	pierce
bgoneyaakzaan	burn
bgonezaan	heat
bgonezhaan	cut
biibaagndaan	scream
biichwebshkaan	throw
biidaaddaan	foretell
biidaajndaan	foretell
biigganaandaan	break
biigkodaan	destroy
biignaan	dismantle
biignaan	change
biigndaan	break
biignendaan	break
biigshkaan	break
biigw'aan	break
biigwaakzaan	incinerate
biigzaan	melt
biigzaan	explode
biigzhaan	dismantle
biijmaandaan	smell
biijpidaan	taste
biim'aakwaan	fasten
biimaatdagnaan	roll
biimsko'aan	rotate
biimskobtwaadaan	circle
biimskonaan	rotate
biimskowebnaan	spin
biimskowebshkaan	spin
biimskwa'aan	rotate
biimskwaabiignaan	coil
biind'aan	insert
biindaabkiwebnaan	bake
biindaagna'aan	pocket
biindaakwaadaan	fill
biindgedaabaadaan	drag
biindgeshkaan	enter
biindgewebnaan	toss
biindnaknaan	insert
biinjiignaan	insert
biinjwebnaan	toss
biis'aan	shatter
biisga'aan	chop
biiskaan	wear
biiskodaan	dice
biisndaan	crunch
biisnendaan	chew
biiszhaan	slice
biiteyaagma'aan	beat
biitookdaan	slice
biitooshkaan	underwear
biiw'aan	brush
biiwegnaandaan	flatten
biiwekdaan	slice
biiwenaan	sprinkle
biiwendaan	tear
biiwezhaan	slice
biiwganaandaan	dust
bizaan	heat
bjib'aan	spear
bka'aan	break
bkaakzaan	burn
bkandaan	bite
bkanendaan	bite
bkewebshkaan	push
bkikdaan	cut
bkishkaan	break
bkite'aan	hit
bkizhaan	cut
bkobiidaabaadaan	drag
bkobiinaan	dip
bkwaagma'aan	skim
bkwe'aan	chip
bkwegnaandaan	chip
bkwekdaan	cut
bkwenaan	remove
bkwendaan	bite
bkweyaakzaan	burn
bkwezaan	heat
bkwezhaan	slice
bmaakw'aan	nail
bmidaabaadaan	drag
bmidaaknendaan	hold
bmideyaabkinaan	grease
bmikdaan	remove
bmin'gaadaan	carry
bminzha'aan	manage
bmisaadaan	walk
bmodaan	shoot
bmoondaan	carry
bna'aan	lower
bnaabndaan	overlook
bnagaakw'aan	peel
bnagaakwaan	peel
bnagaakwaan	peel
bnagjiikdaan	peel
bnagkodaan	peel
bnagnaandaan	miss
bnagndaan	miscount
bnaweb'aan	knock
bngo'aan	dust
bniskgwaadaan	lower
bniskwaabiignaan	uncoil
bniskwegnaan	spread
boodaadaan	blow
boodaakwenaan	dip
boodwaadaan	ignite
boogjidaan	fart
book'aan	break
bookganaandaan	break
bookkodaan	break
bookndaan	break
booknendaan	break
bookshkaan	break
bookwaaknaan	break
boon'kiiwaabiignaan	lower
boonaabndaan	ignore
boonaaddaan	silence
boonaagmandaan	abstain
boonendaan	forget
booniikaan	ignore
bsaabndaan	mistake
bshagnagek'aan	peel
bshanzhe'aan	whip
bshig'aan	miss
bshigendaan	like
bshigganaandaan	miss
bshigkodaan	miss
bshignaan	drop
bshigndaan	miss
bshignendaan	miss
bshigshkaan	miss
bshigwaakwaadaan	graze
bshigzhaan	miss
bshkonaan	miss
bshkozhaan	cut
bsijii'aan	foul
bsijiignaandaan	graze
bsikaan	bump
bsitaan	offend
bskaabganaandaan	hit
bskaabnaan	return
bskaabnaashkaan	send
bskaabnaazhkaan	send
bskaabwebnaan	throw
bskagnaandaan	bend
bskigwaadaan	hem
bskiignaan	fold
bskinaan	bend
btaakshkaan	bump
btaakw'aan	hit
btaakwaan	hit
btaakwaan	hit
btagnaandaan	hit
btandaan	ingest
btinaan	mistake
bwa'aan	harvest
bwa'aan	dust
bwaadaan	dream
bzhib'aan	spear
bzhishgonaan	empty
bzindaan	listen
bzwaabiishkaan	trip
bzwebshkaan	trip
bzwendaan	dislike
daabshkoog'aan	hew
daadshkaan	separate
daadzhaan	cut
daakaadaan	steer
daan	refer
daang'aan	touch
daangga'aan	feel
daangnaan	touch
daangndaan	taste
daangshkaan	touch
daanzhenaan	dim
daanzhewenaan	dim
daapgwaadaan	pick
daapnaan	pick
daashk'aan	split
daashkaakw'aan	split
daashkaakwaan	split
daashkaakwaan	split
daashkaakzaan	split
daashkdiiyaandaan	split
daashkga'aan	split
daashkganaandaan	split
daashkiignaan	split
daashkjii'aan	split
daashkjiignaandaan	split
daashkjiikdaan	split
daashkjiishkaan	split
daashkkodaan	split
daashknaan	split
daashkndaan	split
daashknendaan	split
daashkshkaan	split
daashkzaan	split
daashkzhaan	split
daaskaan	second
daatganaabndaan	look
damiikaan	busy
damiikaan	busy
danaamtaan	inhale
dba'aan	pay
dbaabiignaan	measure
dbaabndaan	inspect
dbaaddaan	discuss
dbaadendaan	care
dbaajndaan	discuss
dbakaadaan	survey
dbasaadaan	measure
dbendaan	own
dbewgendaan	conserve
dbinnjaandaan	measure
dbizdaandaan	measure
dbizhaan	measure
dditbijiinaan	roll
dditbijiiyebnaan	roll
debaabndaan	observe
debaakmajiishkaan	fit
debnaan	receive
debnendaan	fit
debshkaan	fit
debtaan	hear
debwetaan	believe
debwewendaan	believe
desiignaan	spread
desiigwebnaan	spread
detewganaandaan	thump
detewjii'aan	thump
dewjii'aan	thump
dewjiignaandaan	thump
dewndaan	worry
dgandaan	taste
dgojii'aan	mix
dgojiinaan	hold
dgoksaan	solder
dgonaan	include
dgondaan	eat
dgowebnaan	throw
dgozaan	cook
dgwaawnginaan	include
dgwandaan	eat
dimne'aan	overtake
dkam'aadaan	cross
dkokaadaan	step
dkonaan	hold
dkondaan	bite
dkoogwaadaan	hem
dkookdaan	shorten
dkoonaan	shorten
dkwaabiigkodaan	shorten
dkwaabiignaan	shorten
dkwandaan	bite
dkweggwaadaan	hem
dkwegkodaan	shorten
dnaaddaan	relate
dnendaan	expect
dngishkaan	kick
dnizaan	cook
doodaan	offend
dpagnaandaan	punch
dpinaan	pass
dpishkaan	break
dzhiikaan	work
dzhindaan	discuss
dzhwegda'aan	roll
dzhwegnaan	spread
ektaan	tire
ekwaabndaan	tire
ekwendaan	tire
gaadaan	plant
gaagaashkjii'aan	scrape
gaakaashkjii'aan	scrape
gaakdiiyaandaan	rip
gaakshkaan	rip
gaand'aan	push
gaandnaan	push
gaanjweb'aan	push
gaanjwebnaan	push
gaanjwebshkaan	push
gaanzkaan	push
gaapjii'aan	smash
gaapjiizaan	cook
gaashk'aan	scrape
gaashkaad'aan	scrape
gaashkbaadaan	shave
gaashkganaandaan	pound
gaashkgwaadaan	rake
gaashkjiinaan	scoop
gaashknaan	scrape
gaashkodaan	gouge
gaashkodaan	gouge
gaashkshkaan	dent
gaashkzhaan	scrape
gaasiibii'aan	erase
gaaskiignaan	rustle
gaataagaabwitaan	stand
gaawaadaan	crave
gadendaan	ashamed
gapgamzaan	thicken
gba'aan	cover
gbaabiignaan	close
gbaabka'aan	close
gbaaknaan	close
gbaakw'aan	close
gbawaanzhe'aan	damp
gbikaadaan	overtake
gbikdaan	overtake
gbojiizaan	bake
gchi-piitendaan	prize
gchi-nendaan	cherish
gdaagmandaan	taste
gdaan	eat
gdagjiishkaan	trap
gdandaan	taste
gdanendaan	expel
gdawaakwaadaan	shoot
gdigjii'aan	tip
gdigjiinaan	tip
gdigjiishkaan	tip
gdigjiiweb'aan	tip
gdigjiiwebnaan	tip
gdigjiiwebshkaan	tip
gdigshkaan	tip
gdigwebnaan	tip
gdinaan	try
gdiskaabiignaan	unplug
getnaamiikaan	work
gezbaabiignaan	roll
gezbaaknaan	fold
gezbandaan	eat
gezbiignaan	fold
gezbinaan	gather
gezbiwebnaan	throw
gezkognaandaan	catch
gezkotaan	catch
ggweji-ndandaan	taste
ggwejjiinaan	feel
ggwetaan'gindaan	charge
ggwezkaan	try
giib'aan	bump
giibdaabaadaan	drag
giibshkaan	bump
giibweb'aan	bump
giibwebshkaan	bump
giichwebnaan	throw
giik'aan	nudge
giikdaabaadaan	move
giikgindaan	raise
giiknaamzaan	smoke
giikweb'aan	push
giikwebnaan	shove
giikwebshkaan	push
giimoodaagmandaan	drink
giimoodaajndaan	relate
giimoozaabndaan	peek
giin'kog'aan	chop
giin'kozhaan	cut
giinaakga'aan	sharpen
giisaadendaan	regret
giishk'aan	cut
giishkaak'aan	shear
giishkaakzaan	cut
giishkga'aan	chop
giishkganaandaan	sever
giishkgwe'aan	chop
giishkgwekdaan	cut
giishkgwenaan	break
giishkndaan	bite
giishknendaan	sever
giishkkodaan	cut
giishkzhaan	cut
giiskaan	take
giitaawaabiignaan	wind
giiwsaadendaan	regret
giizhgindaan	finish
giizhooshkaan	warm
giizhzaan	finish
gindaan	count
gjibtwaadaan	run
gjidaabaadaan	drag
gjijiinaan	check
gjijiiyaan	prick
gjikdaan	cut
gjimaandaan	sniff
gjipdaan	taste
gkendaan	know
gkinwaadendaan	notice
gnaabiignaan	lengthen
gnaakkodaan	cut
gnawaabndaan	watch
gnawendaan	care
gndaan	swallow
gnik'aan	scoop
gniknaan	scoop
gnisk'aan	scoop
gniwaabndaan	watch
gniwendaan	care
gnoodaan	talk
gnwaabiignaan	lengthen
gnwaakkodaan	cut
gnweggwaadaan	lengthen
gnwegkodaan	cut
go'aan	cover
gogwaadaan	sew
gojwebnaan	throw
gon'aan	cover
goneb'aan	cover
gonweb'aan	cover
goopdendaan	despise
gozhe'aan	cover
gpaggwaadaan	sew
gpagkodaan	cut
gshkaabka'aan	lock
gshkandaan	bite
gshkigwaadaan	sew
gshkiiwaakwaan	lock
gshkiiwaakwaan	lock
gshkinaan	lift
gtaan	fear
gtigaadaan	plant
gtigjii'aan	tip
gtigjiinaan	tip
gtigjiishkaan	tip
gtigjiiweb'aan	tip
gtigjiiwebnaan	tip
gtigjiiwebshkaan	tip
gtigshkaan	tip
gtigwebnaan	tip
gwa'aan	chop
gwaa'oondaan	carry
gwaab'aan	draw
gwaabiignaan	fish
gwaabkizaan	stick
gwaabnaan	pick
gwaadaabaadaan	drag
gwaakwaan	nail
gwaakwaan	nail
gwaashkjwebnaan	throw
gwaashkwegnaandaan	deflect
gwaaweb'aan	flip
gwaawebnaan	flip
gwekjiinaan	turn
gweknaan	turn
gwekwebnaan	flip
gwi'aan	chop
gwiid'aan	lift
gwiidnaan	lift
gwiijwebnaan	flip
gwiinwaabndaan	miss
gwiishkshindaan	whistle
gwiizkaan	lift
gwjindaawaakwaadaan	drive
gwjipdaan	taste
gzhaabkizaan	heat
gzhaadaan	babysit
gzhaagmizaan	heat
gzii'aan	wipe
gziibiignaan	wash
gziigmizaan	parboil
gziisga'aan	scrub
gziiyaabka'aan	wipe
gzikaan	try
jaachiigaakndaan	gnaw
jaagaajndaan	tell
jaagaakzaan	burn
jaagga'aan	clear
jaagzaan	burn
jaajiigndaan	gnaw
jaanmaagmandaan	drink
jekaakdaabaadaan	drag
jidkiiyebnaan	throw
jiib'aan	nudge
jiibganaandaan	nudge
jiibnaan	nudge
jiichiigmikwaadaan	unknown.word
jiichiigwaakndaan	gnaw
jiichiikzhe'aan	poke
jiigaakshkaan	scrape
jiigbiignaandaan	hit
jiigda'aan	sweep
jiigga'aan	shave
jiindaan	kiss
jiishaagne'aan	clear
jiishweb'aan	sweep
jkaakshkaan	impale
kawaabndaan	guard
kendaan	know
kiikaadaan	spread
kinwaadendaan	notice
kinwaajbiihaan	mark
ko-gkendaan	know
kodaabiignaan	raise
maagwaakshkaan	pump
